RelaciónCompraAlquiler;Departamento;Año;PROMEDIO(RAI/RCI)-MIDES;PROMEDIO(RAI/RCI)-ECH;PorcentajeDiferencia
Alquiler;Treinta y Tres;2011;14.5;14.17;2.28
Compra;Treinta y Tres;2011;9.7;9.72;0.21
Alquiler;Artigas;2012;16.1;15.31;4.91
Compra;Artigas;2012;8.1;6.34;21.73
Alquiler;Canelones;2012;17.7;17.28;2.37
Compra;Canelones;2012;13.1;13.29;1.45
Alquiler;Cerro Largo;2012;17.3;16.72;3.35
Compra;Cerro Largo;2012;8.8;7.12;19.09
Alquiler;Colonia;2012;19;18.15;4.47
Compra;Colonia;2012;10.9;10.44;4.22
Alquiler;Durazno;2012;20.2;19.13;5.3
Compra;Durazno;2012;7.9;7.87;0.38
Alquiler;Flores;2012;18.2;17.34;4.73
Compra;Flores;2012;11.3;11.3;0
Alquiler;Florida;2012;18.4;17.57;4.51
Compra;Florida;2012;8.8;7.38;16.14
Alquiler;Lavalleja;2012;16.1;18.15;12.73
Compra;Lavalleja;2012;11.8;11.54;2.2
Alquiler;Maldonado;2012;20.1;19.95;0.75
Compra;Maldonado;2012;11.4;11.82;3.68
Alquiler;Montevideo;2012;21.5;22.27;3.58
Compra;Montevideo;2012;13.5;14.08;4.3
Alquiler;Paysandu;2012;18.7;18.56;0.75
Compra;Paysandu;2012;10.4;9.23;11.25
Alquiler;Rio Negro;2012;18.6;16.44;11.61
Compra;Rio Negro;2012;7.7;6.32;17.92
Alquiler;Rivera;2012;17.7;17.14;3.16
Compra;Rivera;2012;9.5;8.8;7.37
Alquiler;Rocha;2012;15.8;15.84;0.25
Compra;Rocha;2012;9.4;9.07;3.51
Alquiler;Salto;2012;18.4;17.29;6.03
Compra;Salto;2012;10.9;8.76;19.63
Alquiler;San José;2012;16;14.27;10.81
Compra;San José;2012;9.8;9.16;6.53
Alquiler;Soriano;2012;17.3;16.01;7.46
Compra;Soriano;2012;10.9;10.18;6.61
Alquiler;Tacuarembó;2012;20.4;20.09;1.52
Compra;Tacuarembó;2012;9.2;8.07;12.28
Alquiler;Treinta y Tres;2012;15.6;15.49;0.71
Compra;Treinta y Tres;2012;13.1;11.3;13.74
Alquiler;Artigas;2013;18.9;20.3;7.41
Compra;Artigas;2013;6.4;6.65;3.91
Alquiler;Canelones;2013;17.1;17.55;2.63
Compra;Canelones;2013;11.1;11.61;4.59
Alquiler;Cerro Largo;2013;15.9;16.03;0.82
Compra;Cerro Largo;2013;7.1;7.11;0.14
Alquiler;Colonia;2013;17.4;16.91;2.82
Compra;Colonia;2013;9.2;9.46;2.83
Alquiler;Durazno;2013;16.8;16.38;2.5
Compra;Durazno;2013;8.3;8.12;2.17
Alquiler;Flores;2013;15.5;14.87;4.06
Compra;Flores;2013;8.3;8.34;0.48
Alquiler;Florida;2013;16.5;14.52;12
Compra;Florida;2013;6.4;6.59;2.97
Alquiler;Lavalleja;2013;16.5;16.88;2.3
Compra;Lavalleja;2013;10.5;11.04;5.14
Alquiler;Maldonado;2013;20.2;20.44;1.19
Compra;Maldonado;2013;11;12.23;11.18
Alquiler;Montevideo;2013;21.9;23.62;7.85
Compra;Montevideo;2013;13.8;14.22;3.04
Alquiler;Paysandu;2013;17.3;17.23;0.4
Compra;Paysandu;2013;7.1;7.39;4.08
Alquiler;Rio Negro;2013;15.3;14.14;7.58
Compra;Rio Negro;2013;9.2;9.69;5.33
Alquiler;Rivera;2013;17.7;17.74;0.23
Compra;Rivera;2013;8.4;8.35;0.6
Alquiler;Rocha;2013;15.6;16.84;7.95
Compra;Rocha;2013;11.2;12.1;8.04
Alquiler;Salto;2013;18.5;18.49;0.05
Compra;Salto;2013;8;8.71;8.88
Alquiler;San José;2013;16.5;15.61;5.39
Compra;San José;2013;6.9;7.49;8.55
Alquiler;Soriano;2013;15.8;15.69;0.7
Compra;Soriano;2013;6.2;7.8;25.81
Alquiler;Tacuarembó;2013;18.1;17.47;3.48
Compra;Tacuarembó;2013;10;10.23;2.3
Alquiler;Treinta y Tres;2013;17.2;17.15;0.29
Compra;Treinta y Tres;2013;8.7;9.82;12.87
Alquiler;Artigas;2014;17.2;17.19;0.06
Compra;Artigas;2014;4.3;4.76;10.7
Alquiler;Canelones;2014;17.6;17.42;1.02
Compra;Canelones;2014;11.9;11.94;0.34
Alquiler;Cerro Largo;2014;17.6;17.69;0.51
Compra;Cerro Largo;2014;7.6;8.39;10.39
Alquiler;Colonia;2014;20;19.84;0.8
Compra;Colonia;2014;12.2;12.63;3.52
Alquiler;Durazno;2014;16.2;16.96;4.69
Compra;Durazno;2014;5.7;6.11;7.19
Alquiler;Flores;2014;17.9;17.01;4.97
Compra;Flores;2014;7.6;8.49;11.71
Alquiler;Florida;2014;18.2;18.49;1.59
Compra;Florida;2014;6.5;7.09;9.08
Alquiler;Lavalleja;2014;17;19.98;17.53
Compra;Lavalleja;2014;12;12.57;4.75
Alquiler;Maldonado;2014;20.8;20.79;0.05
Compra;Maldonado;2014;11;11.38;3.45
Alquiler;Montevideo;2014;22.5;23.17;2.98
Compra;Montevideo;2014;14.3;14.6;2.1
Alquiler;Paysandu;2014;17.7;17.35;1.98
Compra;Paysandu;2014;8.6;9.85;14.53
Alquiler;Rio Negro;2014;15.9;14.07;11.51
Compra;Rio Negro;2014;7.5;8.4;12
Alquiler;Rivera;2014;17.8;17.86;0.34
Compra;Rivera;2014;10;10.73;7.3
Alquiler;Rocha;2014;15.4;15.47;0.45
Compra;Rocha;2014;8.7;9.41;8.16
Alquiler;Salto;2014;18.5;18.52;0.11
Compra;Salto;2014;8;8.5;6.25
