"RelaciónCompraAlquiler";"DPTO";"Año";"Valor"
"Compra";8,00;2014;7,09
"Compra";8,00;2015;6,20
"Compra";8,00;2016;11,39
"Compra";8,00;2017;8,37
"Compra";8,00;2018;9,18
"Compra";8,00;2019;10,60
"Compra";9,00;2006;9,96
"Compra";9,00;2007;10,12
"Compra";9,00;2008;11,09
"Compra";9,00;2009;9,59
"Compra";9,00;2010;10,80
"Compra";9,00;2011;11,80
"Compra";9,00;2012;11,54
"Compra";9,00;2013;11,04
"Compra";9,00;2014;12,57
"Compra";9,00;2015;10,85
"Compra";9,00;2016;9,23
"Compra";9,00;2017;10,75
"Compra";9,00;2018;11,33
"Compra";9,00;2019;10,07
"Compra";10,00;2006;15,65
"Compra";10,00;2007;12,23
"Compra";10,00;2008;10,97
"Compra";10,00;2009;13,06
"Compra";10,00;2010;11,63
"Compra";10,00;2011;11,55
"Compra";10,00;2012;11,82
"Compra";10,00;2013;12,23
"Compra";10,00;2014;11,38
"Compra";10,00;2015;12,56
"Compra";10,00;2016;11,79
"Compra";10,00;2017;11,11
"Compra";10,00;2018;14,70
"Compra";10,00;2019;11,04
"Compra";11,00;2006;11,12
"Compra";11,00;2007;10,72
"Compra";11,00;2008;7,91
"Compra";11,00;2009;10,89
"Compra";11,00;2010;8,08
"Compra";11,00;2011;9,58
"Compra";11,00;2012;9,23
"Compra";11,00;2013;7,39
"Compra";11,00;2014;9,85
"Compra";11,00;2015;9,49
"Compra";11,00;2016;11,22
"Compra";11,00;2017;8,50
"Compra";11,00;2018;11,63
"Compra";11,00;2019;11,83
"Compra";12,00;2006;9,46
"Compra";12,00;2007;11,21
"Compra";12,00;2008;8,72
"Compra";12,00;2009;10,08
"Compra";12,00;2010;9,53
"Compra";12,00;2011;9,80
"Compra";12,00;2012;6,32
"Compra";12,00;2013;9,69
"Compra";12,00;2014;8,40
"Compra";12,00;2015;9,98
"Compra";12,00;2016;10,98
"Compra";12,00;2017;32,83
"Compra";12,00;2018;11,85
"Compra";12,00;2019;11,13
"Compra";13,00;2006;10,34
"Compra";13,00;2007;10,40
"Compra";13,00;2008;10,01
"Compra";13,00;2009;10,55
"Compra";13,00;2010;6,47
"Compra";13,00;2011;9,30
"Compra";13,00;2012;8,80
"Compra";13,00;2013;8,35
"Compra";13,00;2014;10,73
"Compra";13,00;2015;8,19
"Compra";13,00;2016;11,93
"Compra";13,00;2017;9,68
"Compra";13,00;2018;10,64
"Compra";13,00;2019;9,52
"Compra";14,00;2006;11,94
"Compra";14,00;2007;15,30
"Compra";14,00;2008;10,93
"Compra";14,00;2009;8,92
"Compra";14,00;2010;9,22
"Compra";14,00;2011;9,57
"Compra";14,00;2012;9,07
"Compra";14,00;2013;12,10
"Compra";14,00;2014;9,41
"Compra";14,00;2015;10,15
"Compra";14,00;2016;12,59
"Compra";14,00;2017;11,37
"Compra";14,00;2018;12,68
"Compra";14,00;2019;13,25
"Compra";15,00;2006;10,33
"Compra";15,00;2007;11,74
"Compra";15,00;2008;11,42
"Compra";15,00;2009;9,54
"Compra";15,00;2010;9,87
